Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
21614,Hera Pheri,"['Comedy', 'Crime']",7.27,2000-03-31,hi,7.007,207,"Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned."
143010,Thuppakki,"['Action', 'Thriller']",5.078,2012-11-13,ta,7.1,76,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
989407,Sarfarosh,['History'],0.6,1964-01-01,hi,0.0,0,A Bollywood film.
263475,Kaththi,"['Action', 'Drama']",4.608,2014-10-22,ta,6.9,75,"Kathiresan aka Kaththi, a criminal, escapes from the Kolkata prison and comes to Chennai, where he comes across his doppelganger Jeevanandham, fighting for his life after being shot at by unknown men. Kathir decides to pass off as Jeeva and make away with a lump sum amount but once he realizes who Jeeva really is, Kathir turns a crusader."
438631,Dune: Part One,"['Science Fiction', 'Adventure']",118.042,2021-09-15,en,7.794,9067,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
335984,Blade Runner 2049,"['Science Fiction', 'Drama']",76.789,2017-10-04,en,7.537,12022,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."
447365,Guardians of the Galaxy,"['Science Fiction', 'Adventure', 'Action']",3135.553,2023-05-03,en,8.148,2619,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
293660,Deadpool,"['Action', 'Adventure', 'Comedy']",128.462,2016-02-09,en,7.6,28546,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
24428,The Avengers,"['Science Fiction', 'Action', 'Adventure']",149.052,2012-04-25,en,7.709,28816,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
9806,The Incredibles,"['Action', 'Adventure', 'Animation', 'Family']",70.166,2004-10-27,en,7.702,16363,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume."
